student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1000,Krishna,12,70.8,74.0,50.9,64.6,367.1,55.4
S1001,Ritika,9,100.0,80.4,43.6,92.7,377.9,78.3
S1002,Rohan,10,75.7,83.2,43.7,68.3,379.2,58.8
S1003,Diya,12,82.7,92.6,18.1,71.7,175.7,70.5
S1004,Kartik,8,67.2,53.3,71.8,70.0,98.1,67.9
S1005,Vivaan,10,70.9,73.7,66.8,80.3,170.2,67.9
S1006,Pooja,10,79.1,58.3,26.0,55.1,283.3,67.2
S1007,Ananya,12,71.8,50.0,89.1,67.1,234.3,63.4
S1008,Aadhya,7,43.4,52.6,93.6,66.4,201.4,45.2
S1009,Priya,8,87.9,73.9,45.0,77.8,270.4,78.9
S1010,Sai,12,61.4,72.5,83.3,76.7,87.6,62.0
S1011,Neha,8,99.6,72.2,48.5,70.4,232.7,83.6
S1012,Gopal,8,79.6,60.9,63.6,79.3,320.7,62.5
S1013,Sanjay,10,71.0,65.1,43.3,57.7,269.4,43.2
S1014,Ritika,9,76.2,79.7,100.0,84.3,282.3,76.6
S1015,Ritika,8,68.5,38.2,54.1,54.9,363.8,55.7
S1016,Ritika,11,63.2,65.4,62.5,58.4,214.0,50.9
S1017,Meera,10,72.9,66.6,46.2,55.9,161.2,53.9
S1018,Saanvi,7,82.4,78.6,97.2,74.5,327.1,89.2
S1019,Akash,9,63.5,40.7,97.7,65.9,325.4,48.3
S1020,Suresh,11,61.3,91.9,92.6,69.2,270.2,53.3
S1021,Gopal,11,65.0,68.8,79.1,62.9,205.6,56.2
S1022,Aryan,7,83.3,69.8,47.5,69.0,220.1,74.2
S1023,Deepak,9,90.3,57.8,76.6,61.3,105.1,80.1
S1024,Arjun,10,75.1,74.7,59.9,75.8,320.2,70.8
S1025,Rekha,6,78.1,65.9,86.2,62.0,317.0,51.8
S1026,Neha,9,61.2,86.8,82.3,73.7,101.9,73.4
S1027,Aadhya,7,82.3,39.1,47.0,60.6,298.1,58.7
S1028,Priya,11,77.7,68.2,79.0,78.4,256.4,58.5
S1029,Rekha,10,60.1,72.4,73.6,66.9,128.0,45.1
S1030,Diya,9,45.0,61.6,4.5,52.0,111.5,48.8
S1031,Rohan,6,52.9,57.7,76.0,61.4,253.6,51.3
S1032,Ishita,6,60.6,58.5,51.4,64.0,184.2,54.8
S1033,Sneha,8,86.3,68.1,42.3,65.5,383.8,77.8
S1034,Divya,8,91.7,32.4,43.1,62.5,305.7,55.9
S1035,Harini,12,63.8,82.4,57.3,77.1,262.6,72.5
S1036,Priya,7,64.3,56.4,69.6,61.8,267.1,49.9
S1037,Priya,9,73.7,67.3,32.7,62.7,339.8,78.2
S1038,Ritika,9,70.2,71.6,63.8,74.9,296.2,67.3
S1039,Aarav,12,83.0,55.5,71.5,67.5,265.0,55.5
S1040,Shruti,11,62.7,62.6,97.2,58.3,131.8,35.0
S1041,Suresh,11,83.3,28.4,38.5,57.1,495.6,66.6
S1042,Saanvi,12,66.7,78.2,53.0,72.6,120.7,55.6
S1043,Rekha,11,82.0,84.4,65.2,70.4,191.9,65.0
S1044,Deepak,8,66.2,34.4,82.9,64.9,71.1,55.2
S1045,Aditya,9,61.4,57.7,53.9,62.5,268.5,61.4
S1046,Vivaan,12,96.8,42.9,84.0,63.8,233.6,74.8
S1047,Rohan,9,84.9,61.8,21.3,56.4,288.9,52.8
S1048,Sai,6,44.9,76.7,34.9,49.6,63.5,54.3
S1049,Ananya,8,63.7,82.8,67.0,69.2,320.2,55.9
S1050,Shruti,10,86.9,85.2,31.8,68.1,147.3,49.0
S1051,Harini,8,53.2,88.6,36.5,54.9,206.6,42.3
S1052,Anjali,12,80.8,61.0,49.4,77.0,303.8,67.5
S1053,Gopal,10,79.3,44.4,75.4,67.2,243.5,51.4
S1054,Suresh,6,60.2,62.9,22.1,47.3,249.9,48.8
S1055,Vihaan,12,69.9,76.4,63.4,70.0,291.9,64.5
S1056,Vishal,7,40.7,42.9,80.7,54.6,258.6,39.2
S1057,Suresh,9,94.8,94.9,56.1,85.5,189.3,72.7
S1058,Priya,6,65.7,81.2,52.6,65.8,205.0,48.3
S1059,Kartik,9,81.3,61.3,68.0,68.1,239.1,62.9
S1060,Priya,11,78.6,52.2,56.2,61.1,139.4,40.3
S1061,Kartik,7,89.0,53.0,87.8,74.3,309.6,61.8
S1062,Manish,7,63.9,66.3,37.8,60.1,246.0,47.2
S1063,Rahul,6,72.9,60.9,59.0,59.8,226.7,55.1
S1064,Sanjay,7,77.8,82.1,64.1,78.0,327.3,66.7
S1065,Rekha,10,82.2,58.8,52.4,76.2,209.2,71.9
S1066,Rohan,7,86.2,74.1,2.6,63.6,203.6,77.5
S1067,Chitra,9,63.3,64.5,56.8,59.8,176.4,43.9
S1068,Kartik,9,60.7,69.9,78.0,60.0,250.9,69.9
S1069,Diya,12,89.0,60.9,75.6,86.7,247.8,64.3
S1070,Aarav,9,41.5,77.7,67.1,51.7,160.0,45.2
S1071,Gopal,12,92.0,78.0,38.0,79.4,204.0,75.8
S1072,Chitra,9,65.8,73.3,67.9,72.4,160.6,77.6
S1073,Arjun,10,69.9,75.9,48.5,65.0,156.6,53.9
S1074,Sai,12,60.4,48.0,67.1,56.8,64.3,32.3
S1075,Manish,8,69.3,70.8,62.4,57.0,199.2,67.9
S1076,Ritika,11,87.8,87.5,40.5,77.9,66.8,62.2
S1077,Priya,6,80.8,73.8,42.2,72.8,178.3,61.7
S1078,Chitra,9,76.9,46.4,67.1,58.8,164.9,46.2
S1079,Sneha,7,71.2,64.1,55.6,64.3,314.7,56.6
S1080,Aryan,9,49.8,71.7,43.2,54.9,128.7,39.8
S1081,Siddharth,7,58.2,51.4,41.5,55.5,151.5,52.8
S1082,Gopal,11,65.2,40.6,53.9,55.0,185.7,49.7
S1083,Deepak,11,76.4,59.3,91.4,65.3,167.8,53.1
S1084,Priya,11,71.0,51.7,49.5,56.6,343.2,64.0
S1085,Vikas,7,83.8,64.7,59.7,73.4,117.5,65.6
S1086,Manish,9,76.6,36.4,62.0,65.9,185.9,40.9
S1087,Harini,11,70.8,75.2,37.4,60.0,249.9,66.1
S1088,Siddharth,10,100.0,53.6,24.7,80.4,299.3,74.6
S1089,Nikhil,12,75.7,82.9,39.5,57.4,185.8,71.3
S1090,Gopal,7,64.0,60.0,64.9,59.6,47.4,51.3
S1091,Aryan,7,96.0,64.5,61.7,77.5,206.5,64.6
S1092,Aryan,9,86.8,61.9,74.0,74.9,341.7,66.8
S1093,Nikhil,7,95.4,52.6,61.9,66.8,245.4,73.3
S1094,Ananya,7,68.4,100.0,57.8,77.9,241.3,59.7
S1095,Kartik,11,83.7,56.1,47.9,68.7,124.3,57.6
S1096,Ritika,9,49.7,83.4,77.7,67.1,115.1,49.3
S1097,Ananya,11,81.0,45.3,41.6,62.4,221.6,49.3
S1098,Pooja,12,67.8,71.7,37.8,58.9,91.6,48.1
S1099,Lakshmi,12,51.0,73.6,71.3,53.2,290.3,51.0
S1100,Shruti,11,84.5,64.6,33.3,61.4,143.8,70.8
S1101,Aadhya,12,44.7,54.7,100.0,62.5,217.8,47.9
S1102,Sai,9,43.2,60.3,61.6,53.9,50.3,40.3
S1103,Nikhil,6,75.1,57.7,67.0,68.1,184.6,52.1
S1104,Sanjay,11,78.0,100.0,43.8,79.3,113.3,76.7
S1105,Aadhya,10,83.6,64.6,53.7,66.9,11.0,63.5
S1106,Akash,10,80.4,74.4,51.5,71.5,268.8,60.0
S1107,Suresh,7,90.7,97.1,49.2,85.6,367.7,85.6
S1108,Rahul,12,79.8,49.2,72.7,68.3,321.7,66.2
S1109,Vivaan,10,68.1,65.7,51.0,55.7,281.4,49.2
S1110,Vivaan,7,69.0,60.2,80.4,63.4,182.7,54.7
S1111,Diya,6,66.0,63.4,100.0,78.7,292.5,56.6
S1112,Kartik,9,74.1,61.8,54.1,73.8,330.1,83.9
S1113,Neha,9,54.6,51.8,63.0,62.9,232.3,53.5
S1114,Diya,9,74.8,68.5,67.6,72.5,113.4,61.7
S1115,Priya,10,68.8,45.9,96.2,61.6,175.1,56.5
S1116,Gopal,6,73.9,82.8,58.3,72.6,373.2,77.4
S1117,Vivaan,10,73.9,76.2,43.4,76.4,213.3,63.0
S1118,Divya,12,35.7,56.1,34.7,45.3,0.0,29.3
S1119,Divya,10,57.4,57.0,58.8,56.4,87.8,53.8
S1120,Divya,6,68.5,70.0,51.0,68.3,181.8,56.6
S1121,Saanvi,6,69.2,50.6,100.0,63.7,313.2,47.9
S1122,Ishita,12,73.6,97.6,95.4,82.1,195.4,57.8
S1123,Meera,6,74.2,71.4,39.3,58.2,314.9,72.4
S1124,Priya,6,91.2,72.1,45.8,76.9,172.6,70.5
S1125,Anjali,9,74.4,77.3,61.5,76.3,43.2,56.4
S1126,Vishal,12,65.6,54.6,87.9,67.0,175.8,52.2
S1127,Akash,8,47.6,84.6,61.1,56.9,251.0,56.6
S1128,Anjali,8,50.8,67.1,47.1,54.6,243.6,45.8
S1129,Sneha,6,77.5,82.1,58.8,71.3,107.0,51.3
S1130,Harini,8,84.8,61.4,47.4,63.7,188.4,64.8
S1131,Ritika,8,91.6,88.7,72.0,87.9,461.6,89.3
S1132,Sai,6,58.4,72.2,45.8,54.9,109.0,58.9
S1133,Siddharth,8,65.7,100.0,49.8,62.6,279.5,57.1
S1134,Akash,10,73.4,58.3,83.2,63.3,31.3,64.6
S1135,Sai,7,98.7,68.7,44.6,66.5,297.7,73.1
S1136,Vihaan,12,71.6,46.4,31.1,55.4,139.7,61.7
S1137,Pooja,7,91.7,55.5,61.9,74.3,256.2,72.4
S1138,Ananya,6,72.4,76.1,52.8,69.2,103.8,47.2
S1139,Vihaan,9,86.1,85.3,70.2,85.4,246.2,86.7
S1140,Vihaan,12,84.4,100.0,66.3,91.7,138.2,74.4
S1141,Vivaan,6,72.3,63.3,59.4,62.8,155.6,61.3
S1142,Vikas,9,55.7,48.2,58.8,56.7,259.8,37.3
S1143,Aryan,7,66.2,78.6,45.3,55.2,181.3,59.1
S1144,Rahul,6,90.8,44.7,61.7,78.0,254.2,75.6
S1145,Pooja,12,82.3,75.2,77.6,71.5,202.8,80.9
S1146,Akash,12,63.9,56.0,40.5,51.4,226.1,61.8
S1147,Rekha,11,65.2,68.8,59.9,61.4,260.1,60.5
S1148,Sai,10,45.8,84.6,80.8,57.0,188.5,36.0
S1149,Krishna,8,90.2,63.0,70.1,77.2,130.4,68.1
S1150,Deepak,9,82.4,81.8,86.2,84.5,172.1,64.5
S1151,Vihaan,11,68.1,80.7,48.6,65.9,327.6,63.1
S1152,Vishal,8,72.8,31.4,23.4,38.8,230.5,37.6
S1153,Diya,8,39.6,48.8,64.0,60.4,144.0,39.0
S1154,Rahul,6,63.2,36.9,67.3,59.6,256.1,45.8
